,fid,src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,total_fwd_pkt,total_bwd_pkt,total_length_fwd_pkt,total_length_bwd_pkt,fwd_pkt_length_max,fwd_pkt_length_min,fwd_pkt_length_avg,fwd_pkt_length_std,bwd_pkt_length_min,bwd_pkt_length_max,bwd_pkt_length_avg,bwd_pkt_length_std,flow_bytes_s,flow_iat_avg,flow_iat_std,flow_iat_max,flow_iat_min,fwd_iat_total,fwd_iat_avg,fwd_iat_std,fwd_iat_max,fwd_iat_min,bwd_iat_total,bwd_iat_avg,bwd_iat_std,bwd_iat_max,bwd_iat_min,fw_psh_flag,bw_psh_flag,fw_urg_flag,bw_urg_flag,fw_hdr_len,bw_hdr_len,fw_pkt_s,bw_pkt_s,pkt_len_min,pkt_len_max,pkt_len_avg,pkt_len_std,pkt_len_var,fin_cnt,syn_cnt,rst_cnt,psh_cnt,ack_cnt,urg_cnt,CWR_cnt,ece_cnt,down_up_ratio,pkt_size_avg,fw_seg_avg,bw_seg_avg,fw_byt_blk_avg,fw_pkt_blk_avg,fw_blk_rate_avg,bw_byt_blk_avg,bw_pkt_blk_avg,bw_blk_rate_avg,sub_fl_fw_pkt,sub_fl_fw_byt,sub_fl_bw_pkt,sub_fl_bw_byt,fw_win_byt,bw_win_byt,Fw_act_pkt,fw_seg_min,atv_avg,atv_std,atv_max,atv_min,idl_avg,idl_std,idl_max,idl_min
0,172.18.0.20:46714>172.18.0.13:8888--TCP,172.18.0.20,172.18.0.13,46714,8888,TCP,2022-07-29 11:23:40.228430,103.0,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,[60],[40],0.009708737864077669,0.009708737864077669,0,0,0.0,0.0,,0,1,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,,0.5,0.0,0.5,<bound method FlowFuture.sflow_bwd_bytes of <flow_future.FlowFuture object at 0x000002DA255784C0>>,64240,0,0,40,0.0000515,0.0000515,0.000103,0,64.0,0.0,64,64
1,172.18.0.10:37848>172.18.0.12:9360--TCP,172.18.0.10,172.18.0.12,37848,9360,TCP,2022-07-29 11:23:40.297899,95.0,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,[60],[40],0.010526315789473684,0.010526315789473684,0,0,0.0,0.0,,0,1,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,,0.5,0.0,0.5,<bound method FlowFuture.sflow_bwd_bytes of <flow_future.FlowFuture object at 0x000002DA257E7D30>>,64240,0,0,40,0.0000475,0.0000475,0.000095,0,64.0,0.0,64,64
2,172.18.0.19:59396>172.18.0.10:9330--TCP,172.18.0.19,172.18.0.10,59396,9330,TCP,2022-07-29 11:23:40.819232,85.0,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,[60],[40],0.011764705882352941,0.011764705882352941,0,0,0.0,0.0,,0,1,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,,0.5,0.0,0.5,<bound method FlowFuture.sflow_bwd_bytes of <flow_future.FlowFuture object at 0x000002DA257E7D60>>,64240,0,0,40,0.0000425,0.0000425,0.000085,0,64.0,0.0,64,64
3,172.18.0.15:47144>172.18.0.13:8888--TCP,172.18.0.15,172.18.0.13,47144,8888,TCP,2022-07-29 11:23:41.037558,76.0,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,[60],[40],0.013157894736842105,0.013157894736842105,0,0,0.0,0.0,,0,1,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,,0.5,0.0,0.5,<bound method FlowFuture.sflow_bwd_bytes of <flow_future.FlowFuture object at 0x000002DA2581BA30>>,64240,0,0,40,0.000038,0.000038,0.000076,0,64.0,0.0,64,64
4,172.18.0.17:57120>172.18.0.3:8761--TCP,172.18.0.17,172.18.0.3,57120,8761,TCP,2022-07-29 11:24:26.427352,45318866.0,10,5,1160,3999,1161,258,799.8,442.377847546642,0,232,116.0,116.0,0.00011383779991317524,6.0423218,7.763491059266290329580693611,19.806238,0,45.318866,4.5318866,7.213692246447185384667436312,19.804798,0,45.315961,9.0631922,7.940540388954907897578730312,19.806238,0,5,5,0,0,"[284, 52, 284, 52, 284, 52, 284, 52, 284, 52]","[310, 310, 1213, 1213, 1213]",2.206586546097601e-07,1.1032932730488005e-07,0,1161,343.93333333333334,422.0315101453392,190832.78095238094,0,0,0,10,15,0,0,0,0.5,343.93333333333334,116.0,116.0,464.0,22.0,25.59640393473217,3199.2,12.0,88.24705273270051,0.6666666666666666,77.33333333333333,0.3333333333333333,<bound method FlowFuture.sflow_bwd_bytes of <flow_future.FlowFuture object at 0x000002DA2581BA60>>,5010,2511,5,310,3.021257733333333333333333333,6.265426530455724865232322584,19.804798,0,64.0,0.0,64,64
5,172.18.0.16:47240>172.18.0.5:5432--TCP,172.18.0.16,172.18.0.5,47240,5432,TCP,2022-07-29 11:23:55.654434,14430692.0,91,56,21219,60694,8192,0,1083.8214285714287,1917.2836729075746,0,4615,233.17582417582418,602.2022878231911,0.005676304365722725,0.1963349659863945578231292517,1.135308032280288986865434266,9.522226,0,14.430692,0.1585790329670329670329670330,1.022881011441374144499392092,9.522068,0,14.430548,0.2576883571428571428571428571,1.295041168260704760985712654,9.522226,0,50,47,0,0,"[60, 52, 60, 52, 168, 52, 93, 52, 115, 52, 136, 52, 96, 52, 128, 52, 4667, 52, 159, 52, 119, 52, 103, 52, 158, 52, 145, 52, 145, 154, 263, 101, 158, 52, 1791, 52, 1240, 52, 1240, 52, 1240, 52, 1240, 52, 1240, 52, 1240, 52, 1240, 52, 1240, 52, 1240, 52, 172, 141, 179, 52, 83, 158, 52, 83, 52, 158, 52, 200, 52, 83, 52, 158, 52, 83, 52, 96, 52, 337, 52, 550, 52, 52, 52, 119, 52, 119, 52, 138, 52, 337, 52, 550, 52]","[60, 52, 53, 52, 65, 52, 369, 77, 122, 78, 150, 52, 1530, 115, 139, 82, 103, 125, 125, 126, 87, 80, 103, 52, 467, 1992, 1992, 1992, 1992, 1992, 1992, 1992, 1992, 1992, 159, 125, 1773, 75, 103, 77, 103, 87, 75, 103, 75, 78, 4793, 7292, 1004, 5826, 139, 139, 481, 4793, 8244, 5826]",6.306003897803376e-06,3.8806177832636165e-06,0,8192,557.2312925170068,1339.9673925773113,1807810.644767496,0,2,0,97,146,0,0,0,0.6153846153846154,557.2312925170068,233.17582417582418,233.17582417582418,932.7032967032967,184.0,1470.407656126262,4335.285714285715,114.0,4205.93867952901,0.6190476190476191,144.3469387755102,0.38095238095238093,<bound method FlowFuture.sflow_bwd_bytes of <flow_future.FlowFuture object at 0x000002DA2581BA90>>,109201,92795,47,52,0.09816797278911564625850340136,0.8084734574182521601599955174,9.522068,0,64.0,0.0,64,64
6,172.18.0.20:46716>172.18.0.13:8888--TCP,172.18.0.20,172.18.0.13,46716,8888,TCP,2022-07-29 11:23:41.229119,68.0,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,[60],[40],0.014705882352941176,0.014705882352941176,0,0,0.0,0.0,,0,1,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,,0.5,0.0,0.5,<bound method FlowFuture.sflow_bwd_bytes of <flow_future.FlowFuture object at 0x000002DA2581BAC0>>,64240,0,0,40,0.000034,0.000034,0.000068,0,64.0,0.0,64,64
7,172.18.0.18:34282>172.18.0.5:5432--TCP,172.18.0.18,172.18.0.5,34282,5432,TCP,2022-07-29 11:23:41.435961,144254.0,18,14,1830,38085,7240,26,2720.3571428571427,2265.141768100142,0,498,101.66666666666667,165.11241961497356,0.27669943294466703,0.00900425,0.01946432858140757959805307396,0.080966,0,0.144254,0.008014111111111111111111111111,0.01819563907426687924522514163,0.078313,0,0.143882,0.01027728571428571428571428571,0.02091432232237233243155433170,0.080966,0,14,8,0,0,"[96, 52, 337, 52, 52, 550, 52, 52, 52, 52, 119, 52, 119, 138, 337, 52, 550, 52]","[78, 2948, 1852, 2948, 2948, 2452, 5772, 139, 139, 721, 4748, 7292, 1004, 5772]",0.000124779902117099,9.70510349799659e-05,0,7240,1247.34375,1986.878717507925,4075031.78125,0,0,0,22,32,0,0,0,0.7777777777777778,1247.34375,101.66666666666667,101.66666666666667,406.6666666666667,38.0,12685.956715238399,10881.42857142857,30.0,264696.07039101486,0.5625,57.1875,0.4375,<bound method FlowFuture.sflow_bwd_bytes of <flow_future.FlowFuture object at 0x000002DA2581BAF0>>,8925,7014,8,78,0.0045079375,0.01399912911339822417311972603,0.078313,0,64.0,0.0,64,64
8,172.18.0.10:37850>172.18.0.12:9360--TCP,172.18.0.10,172.18.0.12,37850,9360,TCP,2022-07-29 11:23:41.298876,71.0,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,[60],[40],0.014084507042253521,0.014084507042253521,0,0,0.0,0.0,,0,1,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,,0.5,0.0,0.5,<bound method FlowFuture.sflow_bwd_bytes of <flow_future.FlowFuture object at 0x000002DA2581BB20>>,64240,0,0,40,0.0000355,0.0000355,0.000071,0,64.0,0.0,64,64
9,fe80::42:ecff:fe59:5df1:5353>ff02::fb:5353--UDP,fe80::42:ecff:fe59:5df1,ff02::fb,5353,5353,UDP,2022-07-29 11:24:13.457831,32000535.999999996,2,0,282,0,0,0,0.0,0.0,141,141,141.0,0.0,8.812352393097417e-06,16.000268,16.000268,32.000536,0,32.000536,16.000268,16.000268,32.000536,0,0,0,0,0,0,0,0,0,0,"[149, 149]",[],6.249895314253486e-08,0.0,141,141,141.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,141.0,141.0,141.0,564.0,6.0,8.812352393097417,0.0,0.0,-0.0,1.0,141.0,0.0,<bound method FlowFuture.sflow_bwd_bytes of <flow_future.FlowFuture object at 0x000002DA2581BB50>>,0,0,0,0,16.000268,16.000268,32.000536,0,255.0,0.0,255,255
