Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
172.18.0.20-172.18.0.13-46714-8888-6,172.18.0.20,46714,172.18.0.13,8888,6,29/07/2022 11:23:40 AM,103,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19417.47572815534,103.0,0.0,103.0,103.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,20,9708.73786407767,9708.73786407767,0.0,0.0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,64240,0,0,40,0,0,0,0,0,0,0,0,NeedManualLabel
172.18.0.10-172.18.0.12-37848-9360-6,172.18.0.10,37848,172.18.0.12,9360,6,29/07/2022 11:23:40 AM,95,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21052.631578947367,95.0,0.0,95.0,95.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,20,10526.315789473683,10526.315789473683,0.0,0.0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,64240,0,0,40,0,0,0,0,0,0,0,0,NeedManualLabel
172.18.0.19-172.18.0.10-59396-9330-6,172.18.0.19,59396,172.18.0.10,9330,6,29/07/2022 11:23:40 AM,85,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23529.41176470588,85.0,0.0,85.0,85.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,20,11764.70588235294,11764.70588235294,0.0,0.0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,64240,0,0,40,0,0,0,0,0,0,0,0,NeedManualLabel
172.18.0.15-172.18.0.13-47144-8888-6,172.18.0.15,47144,172.18.0.13,8888,6,29/07/2022 11:23:41 AM,76,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26315.78947368421,76.0,0.0,76.0,76.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,20,13157.894736842105,13157.894736842105,0.0,0.0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,64240,0,0,40,0,0,0,0,0,0,0,0,NeedManualLabel
172.18.0.20-172.18.0.13-46716-8888-6,172.18.0.20,46716,172.18.0.13,8888,6,29/07/2022 11:23:41 AM,68,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29411.764705882353,68.0,0.0,68.0,68.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,20,14705.882352941177,14705.882352941177,0.0,0.0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,64240,0,0,40,0,0,0,0,0,0,0,0,NeedManualLabel
172.18.0.10-172.18.0.12-37850-9360-6,172.18.0.10,37850,172.18.0.12,9360,6,29/07/2022 11:23:41 AM,71,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28169.014084507042,71.0,0.0,71.0,71.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,20,14084.507042253521,14084.507042253521,0.0,0.0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,64240,0,0,40,0,0,0,0,0,0,0,0,NeedManualLabel
172.18.0.1-172.18.0.14-50026-9093-6,172.18.0.1,50026,172.18.0.14,9093,6,29/07/2022 11:23:41 AM,44,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45454.545454545456,44.0,0.0,44.0,44.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,20,22727.272727272728,22727.272727272728,0.0,0.0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,64240,0,0,40,0,0,0,0,0,0,0,0,NeedManualLabel
172.18.0.19-172.18.0.10-59398-9330-6,172.18.0.19,59398,172.18.0.10,9330,6,29/07/2022 11:23:41 AM,61,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32786.88524590164,61.0,0.0,61.0,61.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,20,16393.44262295082,16393.44262295082,0.0,0.0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,64240,0,0,40,0,0,0,0,0,0,0,0,NeedManualLabel
172.18.0.15-172.18.0.13-47146-8888-6,172.18.0.15,47146,172.18.0.13,8888,6,29/07/2022 11:23:42 AM,74,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27027.027027027027,74.0,0.0,74.0,74.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,20,13513.513513513513,13513.513513513513,0.0,0.0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,64240,0,0,40,0,0,0,0,0,0,0,0,NeedManualLabel
172.18.0.20-172.18.0.13-46718-8888-6,172.18.0.20,46718,172.18.0.13,8888,6,29/07/2022 11:23:42 AM,58,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34482.75862068965,58.0,0.0,58.0,58.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,20,17241.379310344826,17241.379310344826,0.0,0.0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,64240,0,0,40,0,0,0,0,0,0,0,0,NeedManualLabel
